County,A10i,A21,B3B,incomegpnew,freq
Kakamega,Male,Some technical training after secondary school,Running own business/Self employed,"KSh 10,001-20,000",1
Marsabit,Male,University completed ,Casual worker,"KSh 20,001 - 50,000",1
West Pokot,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",4
Nakuru,Female,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",2
Taita-Taveta,Male,Some university,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Nakuru,Male,Primary completed,Casual worker,"KSh 20,001 - 50,000",1
Kakamega,Male,University completed ,Money / support from family / friends / spouse,Don't Know,2
Wajir,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Meru,Female,None ,Casual worker,"KSh 3,001 - 5,000",1
Kakamega,Male,Some primary ,Pension/Annuity,"KSh 1,001 - 3,000",3
Nyamira,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",3
Meru,Female,Completed technical training after secondary school,Employed,"KSh 50,001 - 100,000",1
Elgeyo-Marakwet,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Lamu,Male,Primary completed,Pension/Annuity,"KSh 5,001 - 10,000",1
Laikipia,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",2
Lamu,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Isiolo,Male,Secondary completed ,Casual worker,"KSh 10,001-20,000",3
Tana River,Female,Secondary completed ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Kisii,Male,Primary completed,Employed,"KSh 3,001 - 5,000",1
Kiambu,Female,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",1
Kakamega,Female,Some technical training after secondary school,Pension/Annuity,"KSh 5,001 - 10,000",1
Nyandarua,Male,Primary completed,Employed,"KSh 10,001-20,000",3
Trans Nzoia,Male,Some technical training after secondary school,Running own business/Self employed,"KSh 5,001 - 10,000",1
Tharaka-Nithi,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",3
Uasin Gishu,Male,Some primary ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Bomet,Male,Primary completed,Casual worker,"KSh 20,001 - 50,000",1
Meru,Male,Some primary ,Running own business/Self employed,"KSh 10,001-20,000",3
Homabay,Male,Secondary completed ,Running own business/Self employed,"KSh 1,001 - 3,000",1
Elgeyo-Marakwet,Male,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",3
Lamu,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Kakamega,Male,Primary completed,Money from  NGO / Government,"KSh 1,001 - 3,000",1
Uasin Gishu,Female,Secondary completed ,Employed,"KSh 10,001-20,000",2
Trans Nzoia,Female,Some primary ,Employed,"KSh 5,001 - 10,000",3
Kitui,Female,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",6
Samburu,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Trans Nzoia,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Kericho,Male,Some technical training after secondary school,Money / support from family / friends / spouse,Don't Know,2
Vihiga,Male,Some primary ,Running own business/Self employed,Don't Know,1
Meru,Male,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",1
Marsabit,Female,None ,Money / support from family / friends / spouse,Don't Know,11
Nakuru,Female,Secondary completed ,"Renting,  land, house/rooms, equipment","KSh 3,001 - 5,000",1
Nakuru,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Nakuru,Female,Secondary completed ,Running own business/Self employed,Don't Know,1
Taita-Taveta,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",8
Baringo,Female,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",1
Kiambu,Male,Primary completed,Running own business/Self employed,"KSh 10,001-20,000",5
Meru,Female,None ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Tana River,Male,Some secondary,Casual worker,"KSh 5,001 - 10,000",1
Kakamega,Female,Secondary completed ,Running own business/Self employed,Don't Know,1
Marsabit,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",5
Kisumu,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",3
Elgeyo-Marakwet,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",7
Makueni,Female,Some secondary,Employed,"KSh 3,001 - 5,000",1
Kirinyaga,Female,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Machakos,Male,Secondary completed ,Running own business/Self employed,"KSh 1,001 - 3,000",1
Uasin Gishu,Male,Secondary completed ,Running own business/Self employed,"KSh 1,001 - 3,000",3
Mandera,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,4
Nairobi City,Male,Some technical training after secondary school,Casual worker,Don't Know,1
Isiolo,Male,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",4
Nairobi City,Female,None ,Money / support from family / friends / spouse,Don't Know,1
Nakuru,Male,Completed technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",6
Kakamega,Male,Some secondary,Running own business/Self employed,"KSh 10,001-20,000",2
Kajiado,Female,Some secondary,Casual worker,"KSh 3,001 - 5,000",2
Baringo,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",4
Vihiga,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Nyandarua,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Siaya,Male,Secondary completed ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Kirinyaga,Female,None ,Casual worker,"KSh 3,001 - 5,000",1
Kiambu,Female,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Siaya,Male,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",1
Kirinyaga,Male,None ,Money / support from family / friends / spouse,Don't Know,1
Nyeri,Male,Some primary ,Employed,"KSh 1,001 - 3,000",1
Nyamira,Male,Some primary ,Employed,"KSh 5,001 - 10,000",2
Nakuru,Male,University completed ,Employed,"KSh 20,001 - 50,000",2
Nandi,Male,Completed technical training after secondary school,Employed,"KSh 5,001 - 10,000",1
Kisumu,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Nyamira,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Nairobi City,Male,University completed ,Pension/Annuity,"KSh 20,001 - 50,000",1
Murang'a,Male,Primary completed,Casual worker,"KSh 1 - 1,000",4
Nyamira,Male,University completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 50,001 - 100,000",1
Migori,Female,Completed technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",1
Nakuru,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",4
Embu,Female,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",4
Kericho,Female,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Bungoma,Male,University completed ,Employed,"KSh 50,001 - 100,000",1
Tana River,Male,None ,Casual worker,"KSh 5,001 - 10,000",9
Isiolo,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",2
Vihiga,Male,University completed ,Pension/Annuity,"KSh 5,001 - 10,000",1
Makueni,Male,University completed ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Bomet,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",3
Nyeri,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Isiolo,Male,Primary completed,Employed,"KSh 10,001-20,000",1
Kitui,Male,None ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Lamu,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",2
Marsabit,Male,Primary completed,Employed,"KSh 10,001-20,000",1
Nakuru,Female,Secondary completed ,Casual worker,"KSh 1 - 1,000",1
Bomet,Female,Some primary ,Casual worker,Don't Know,2
Kilifi,Male,Secondary completed ,Casual worker,Don't Know,1
Kakamega,Male,Primary completed,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Kisumu,Male,Primary completed,Employed,"KSh 1,001 - 3,000",1
Uasin Gishu,Male,Some secondary,Casual worker,"KSh 3,001 - 5,000",3
Kericho,Male,Completed technical training after secondary school,"Renting,  land, house/rooms, equipment",Don't Know,1
Isiolo,Male,Secondary completed ,Employed,"KSh 10,001-20,000",2
Nyandarua,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",2
Wajir,Male,Some secondary,Casual worker,Don't Know,1
Trans Nzoia,Female,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",3
Nairobi City,Male,Primary completed,Employed,"KSh 5,001 - 10,000",3
Kajiado,Male,Primary completed,Pension/Annuity,Don't Know,1
Nyandarua,Male,Secondary completed ,Employed,"KSh 10,001-20,000",3
Nyamira,Male,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",5
Nyeri,Female,Primary completed,Money from  NGO / Government,"KSh 3,001 - 5,000",1
Bungoma,Female,Secondary completed ,Running own business/Self employed,Don't Know,2
Nakuru,Female,Secondary completed ,Running own business/Self employed,"KSh 1 - 1,000",1
Uasin Gishu,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Nyeri,Male,Completed technical training after secondary school,Pension/Annuity,"KSh 10,001-20,000",1
Isiolo,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",2
Homabay,Male,Primary completed,Running own business/Self employed,"KSh 1 - 1,000",6
Isiolo,Female,Primary completed,Money from  NGO / Government,"KSh 3,001 - 5,000",1
Kiambu,Male,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",2
Elgeyo-Marakwet,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Laikipia,Male,University completed ,Employed,"KSh 5,001 - 10,000",1
Isiolo,Female,Some university,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Marsabit,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Tana River,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Murang'a,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Taita-Taveta,Male,Secondary completed ,Running own business/Self employed,"KSh 1,001 - 3,000",2
Kiambu,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Bomet,Female,Completed technical training after secondary school,Casual worker,"KSh 10,001-20,000",1
Kisii,Male,University completed ,Employed,"KSh 10,001-20,000",4
Vihiga,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",3
Makueni,Female,Completed technical training after secondary school,Running own business/Self employed,"KSh 1,001 - 3,000",1
Elgeyo-Marakwet,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",4
Nandi,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",4
Baringo,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Bungoma,Female,Some secondary,Employed,"KSh 5,001 - 10,000",1
Trans Nzoia,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,2
Migori,Female,Some primary ,Running own business/Self employed,"KSh 1,001 - 3,000",2
Bungoma,Male,Primary completed,Running own business/Self employed,"KSh 1 - 1,000",1
Kiambu,Female,Some secondary,Running own business/Self employed,"KSh 10,001-20,000",2
Lamu,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Makueni,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Kirinyaga,Male,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",2
Lamu,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Kirinyaga,Male,Primary completed,Running own business/Self employed,"KSh 10,001-20,000",5
Kericho,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Bungoma,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Siaya,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",5
Kiambu,Male,Some primary ,Casual worker,"KSh 10,001-20,000",2
Mombasa,Male,Completed technical training after secondary school,Casual worker,"KSh 10,001-20,000",3
Nakuru,Male,Some primary ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Machakos,Male,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Busia,Male,Some secondary,Running own business/Self employed,"KSh 3,001 - 5,000",1
Kisumu,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",3
Mandera,Female,None ,Running own business/Self employed,"KSh 10,001-20,000",8
Embu,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",3
Meru,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Murang'a,Male,Secondary completed ,Casual worker,"KSh 1 - 1,000",1
Busia,Female,Some secondary,Casual worker,"KSh 5,001 - 10,000",2
Kajiado,Female,None ,Casual worker,"KSh 1,001 - 3,000",5
Bungoma,Male,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",6
Kakamega,Female,Secondary completed ,Casual worker,"KSh 1 - 1,000",1
Embu,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Makueni,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Nyamira,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Machakos,Female,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",2
Kakamega,Male,Some primary ,Running own business/Self employed,"KSh 10,001-20,000",2
Kilifi,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Isiolo,Male,Some primary ,Running own business/Self employed,"KSh 10,001-20,000",1
Kirinyaga,Male,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",1
Nyamira,Male,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Lamu,Male,None ,Money from  NGO / Government,"KSh 1,001 - 3,000",1
Siaya,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Lamu,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Busia,Male,Some secondary,Casual worker,"KSh 3,001 - 5,000",3
Lamu,Male,Secondary completed ,Employed,"KSh 5,001 - 10,000",3
Meru,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",1
Nakuru,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Narok,Male,Completed technical training after secondary school,Employed,"KSh 5,001 - 10,000",1
Kericho,Male,Primary completed,Employed,"KSh 5,001 - 10,000",1
Machakos,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",2
Homabay,Female,Completed technical training after secondary school,Employed,"KSh 10,001-20,000",2
Bungoma,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Kitui,Female,None ,Money / support from family / friends / spouse,Don't Know,1
Kakamega,Male,Primary completed,Casual worker,"KSh 1,001 - 3,000",5
Baringo,Female,Some secondary,Casual worker,"KSh 5,001 - 10,000",2
Makueni,Female,Secondary completed ,Employed,"KSh 10,001-20,000",2
Nyeri,Male,Secondary completed ,"Renting,  land, house/rooms, equipment","KSh 5,001 - 10,000",1
Kirinyaga,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Makueni,Male,Secondary completed ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Nakuru,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
